#,,,,,,,,,"generated_by='OpenQuake engine 3.10.0-git811058fcf4', start_date='2020-07-22T04:20:22', checksum=2291992654, investigation_time=50.0, ses_per_logic_tree_path=100000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
172,8,6.550000E+00,1.366297E+00,-4.078616E-01,1.500000E+01,Active Shallow Crust,3.865867E+01,3.060447E+01,9.000000E+01
173,5,6.550000E+00,1.377532E+00,-3.938166E-01,1.500000E+01,Active Shallow Crust,3.865864E+01,3.060399E+01,9.000000E+01
174,5,6.550000E+00,1.388768E+00,-3.797716E-01,1.500000E+01,Active Shallow Crust,3.865864E+01,3.060458E+01,9.000000E+01
175,4,6.550000E+00,1.400004E+00,-3.657265E-01,1.500000E+01,Active Shallow Crust,3.865862E+01,3.060595E+01,9.000000E+01
176,7,6.550000E+00,1.411240E+00,-3.516815E-01,1.500000E+01,Active Shallow Crust,3.865859E+01,3.060733E+01,9.000000E+01
177,9,6.550000E+00,1.422475E+00,-3.376364E-01,1.500000E+01,Active Shallow Crust,3.865856E+01,3.060811E+01,9.000000E+01
178,12,6.550000E+00,1.433711E+00,-3.235914E-01,1.500000E+01,Active Shallow Crust,3.865858E+01,3.060788E+01,9.000000E+01
179,6,6.550000E+00,1.444947E+00,-3.095463E-01,1.500000E+01,Active Shallow Crust,3.865859E+01,3.060663E+01,9.000000E+01
180,15,6.550000E+00,1.456182E+00,-2.955012E-01,1.500000E+01,Active Shallow Crust,3.865859E+01,3.060580E+01,9.000000E+01
181,3,6.550000E+00,1.467418E+00,-2.814561E-01,1.500000E+01,Active Shallow Crust,3.865858E+01,3.060720E+01,9.000000E+01
182,7,6.550000E+00,1.478654E+00,-2.674110E-01,1.500000E+01,Active Shallow Crust,3.865858E+01,3.060901E+01,9.000000E+01
183,8,6.550000E+00,1.489889E+00,-2.533659E-01,1.500000E+01,Active Shallow Crust,3.865860E+01,3.060982E+01,9.000000E+01
